BEST CASE: 
Comparisons: 1
Time: 1000.0 nanoseconds 
 
WORST CASE: 
Leftmost Target: 
  Loop: 8
  Time: 2100.0 nanoseconds 
Rightmost Target: 
  Loop: 9
  Time: 1500.0 nanoseconds 
Left Beside Middle: 
  Loop: 9
  Time: 1500.0 nanoseconds 
Right Beside Middle: 
  Loop: 8
  Time: 1700.0 nanoseconds 
 
AVERAGE CASE: 
Index 306 (target 701077342): Comparisons = 8, Time = 300 ns
Index 307 (target 705256452): Comparisons = 9, Time = 400 ns
Index 308 (target 705940866): Comparisons = 7, Time = 300 ns
Index 309 (target 706628109): Comparisons = 9, Time = 400 ns
Index 310 (target 716344372): Comparisons = 8, Time = 300 ns
Index 311 (target 716429429): Comparisons = 9, Time = 300 ns
Index 312 (target 718110915): Comparisons = 5, Time = 200 ns
Index 313 (target 720413301): Comparisons = 8, Time = 300 ns
Index 314 (target 720704728): Comparisons = 9, Time = 500 ns
Index 315 (target 722170976): Comparisons = 7, Time = 400 ns
Index 316 (target 722639255): Comparisons = 9, Time = 400 ns
Index 317 (target 723767338): Comparisons = 8, Time = 400 ns
Index 318 (target 726162958): Comparisons = 9, Time = 400 ns
Index 319 (target 729458096): Comparisons = 6, Time = 300 ns
Index 320 (target 732347294): Comparisons = 8, Time = 400 ns
Index 321 (target 732583870): Comparisons = 9, Time = 400 ns
Index 322 (target 734085137): Comparisons = 7, Time = 300 ns
Index 323 (target 739259180): Comparisons = 9, Time = 600 ns
Index 324 (target 742817197): Comparisons = 8, Time = 400 ns
Index 325 (target 743786798): Comparisons = 9, Time = 400 ns
Index 326 (target 745681603): Comparisons = 2, Time = 100 ns
Index 327 (target 755365859): Comparisons = 8, Time = 700 ns
Index 328 (target 759829034): Comparisons = 9, Time = 400 ns
Index 329 (target 760820134): Comparisons = 7, Time = 300 ns
Index 330 (target 761904561): Comparisons = 8, Time = 300 ns
Index 331 (target 765727512): Comparisons = 9, Time = 400 ns
Index 332 (target 767328634): Comparisons = 6, Time = 300 ns
Index 333 (target 768179265): Comparisons = 8, Time = 300 ns
Index 334 (target 771543393): Comparisons = 9, Time = 400 ns
Index 335 (target 773916653): Comparisons = 7, Time = 300 ns
Index 336 (target 774872382): Comparisons = 9, Time = 400 ns
Index 337 (target 780124380): Comparisons = 8, Time = 300 ns
Index 338 (target 780384134): Comparisons = 9, Time = 400 ns
Index 339 (target 782358564): Comparisons = 5, Time = 200 ns
Index 340 (target 782558409): Comparisons = 8, Time = 500 ns
Index 341 (target 785794150): Comparisons = 9, Time = 400 ns
Index 342 (target 786562889): Comparisons = 7, Time = 300 ns
Index 343 (target 794373063): Comparisons = 9, Time = 700 ns
Index 344 (target 796907236): Comparisons = 8, Time = 300 ns
Index 345 (target 798011737): Comparisons = 9, Time = 4400 ns
Index 346 (target 798183481): Comparisons = 6, Time = 300 ns
Index 347 (target 798245469): Comparisons = 8, Time = 300 ns
Index 348 (target 801837584): Comparisons = 9, Time = 400 ns
Index 349 (target 802331450): Comparisons = 7, Time = 300 ns
Index 350 (target 805164264): Comparisons = 9, Time = 300 ns
Index 351 (target 815081591): Comparisons = 8, Time = 300 ns
Index 352 (target 815622161): Comparisons = 9, Time = 400 ns
Index 353 (target 824414678): Comparisons = 4, Time = 100 ns
Index 354 (target 826544230): Comparisons = 8, Time = 400 ns
Index 355 (target 828467257): Comparisons = 9, Time = 400 ns
Index 356 (target 830243238): Comparisons = 7, Time = 300 ns
Index 357 (target 839742756): Comparisons = 8, Time = 400 ns
Index 358 (target 840611061): Comparisons = 9, Time = 400 ns
Index 359 (target 842975547): Comparisons = 6, Time = 200 ns
Index 360 (target 845760683): Comparisons = 8, Time = 400 ns
Index 361 (target 846686734): Comparisons = 9, Time = 400 ns
Index 362 (target 846770230): Comparisons = 7, Time = 300 ns
Index 363 (target 853803993): Comparisons = 9, Time = 400 ns
Index 364 (target 854259001): Comparisons = 8, Time = 300 ns
Index 365 (target 857085364): Comparisons = 9, Time = 400 ns
Index 366 (target 861206723): Comparisons = 5, Time = 200 ns
Index 367 (target 862341484): Comparisons = 8, Time = 600 ns
Index 368 (target 865181192): Comparisons = 9, Time = 400 ns
Index 369 (target 865390853): Comparisons = 7, Time = 300 ns
Index 370 (target 868375271): Comparisons = 9, Time = 400 ns
Index 371 (target 869247868): Comparisons = 8, Time = 300 ns
Index 372 (target 871478036): Comparisons = 9, Time = 400 ns
Index 373 (target 872442255): Comparisons = 6, Time = 300 ns
Index 374 (target 880147433): Comparisons = 8, Time = 500 ns
Index 375 (target 880258237): Comparisons = 9, Time = 400 ns
Index 376 (target 883071115): Comparisons = 7, Time = 300 ns
Index 377 (target 883907046): Comparisons = 9, Time = 400 ns
Index 378 (target 884051575): Comparisons = 8, Time = 400 ns
Index 379 (target 884140428): Comparisons = 9, Time = 400 ns
Index 380 (target 886598677): Comparisons = 3, Time = 200 ns
Index 381 (target 887709781): Comparisons = 8, Time = 700 ns
Index 382 (target 892479193): Comparisons = 9, Time = 400 ns
Index 383 (target 894882988): Comparisons = 7, Time = 300 ns
Index 384 (target 895080413): Comparisons = 8, Time = 400 ns
Index 385 (target 895661914): Comparisons = 9, Time = 400 ns
Index 386 (target 898516521): Comparisons = 6, Time = 200 ns
Index 387 (target 899317977): Comparisons = 8, Time = 400 ns
Index 388 (target 900655537): Comparisons = 9, Time = 400 ns
Index 389 (target 901118513): Comparisons = 7, Time = 300 ns
Index 390 (target 901246585): Comparisons = 9, Time = 400 ns
Index 391 (target 903326081): Comparisons = 8, Time = 300 ns
Index 392 (target 906664843): Comparisons = 9, Time = 400 ns
Index 393 (target 910812340): Comparisons = 5, Time = 200 ns
Index 394 (target 912166617): Comparisons = 8, Time = 500 ns
Index 395 (target 914789882): Comparisons = 9, Time = 400 ns
Index 396 (target 920285083): Comparisons = 7, Time = 300 ns
Index 397 (target 920979673): Comparisons = 9, Time = 400 ns
Index 398 (target 924274476): Comparisons = 8, Time = 400 ns
Index 399 (target 925754106): Comparisons = 9, Time = 400 ns
Index 400 (target 926637868): Comparisons = 6, Time = 200 ns
Index 401 (target 927458752): Comparisons = 8, Time = 300 ns
Index 402 (target 930084752): Comparisons = 9, Time = 400 ns
Index 403 (target 930085917): Comparisons = 7, Time = 300 ns
Index 404 (target 932643446): Comparisons = 9, Time = 400 ns
Index 405 (target 937110261): Comparisons = 8, Time = 400 ns
Index 406 (target 939811750): Comparisons = 9, Time = 400 ns
Index 407 (target 941974384): Comparisons = 4, Time = 200 ns
Index 408 (target 942533504): Comparisons = 8, Time = 500 ns
