BEST CASE: 
Comparisons: 1
Time: 1000.0 nanoseconds 
 
WORST CASE: 
Leftmost Target: 
  Loop: 9
  Time: 2400.0 nanoseconds 
Rightmost Target: 
  Loop: 10
  Time: 1700.0 nanoseconds 
Left Beside Middle: 
  Loop: 10
  Time: 1300.0 nanoseconds 
Right Beside Middle: 
  Loop: 9
  Time: 1200.0 nanoseconds 
 
AVERAGE CASE: 
i:276 566837439: Loop = 8, Time = 300 ns
i:277 566841272: Loop = 10, Time = 700 ns
i:278 568423854: Loop = 9, Time = 400 ns
i:279 569321842: Loop = 10, Time = 400 ns
i:280 571645541: Loop = 5, Time = 200 ns
i:281 574007727: Loop = 9, Time = 600 ns
i:282 574315975: Loop = 10, Time = 400 ns
i:283 575168419: Loop = 8, Time = 300 ns
i:284 575356090: Loop = 10, Time = 24800 ns
i:285 576670184: Loop = 9, Time = 600 ns
i:286 588921174: Loop = 10, Time = 400 ns
i:287 588976733: Loop = 7, Time = 300 ns
i:288 589299368: Loop = 10, Time = 500 ns
i:289 589447792: Loop = 9, Time = 300 ns
i:290 590213482: Loop = 10, Time = 400 ns
i:291 591663488: Loop = 8, Time = 400 ns
i:292 592008620: Loop = 10, Time = 600 ns
i:293 597268221: Loop = 9, Time = 500 ns
i:294 597985339: Loop = 10, Time = 400 ns
i:295 598159169: Loop = 6, Time = 200 ns
i:296 599079683: Loop = 10, Time = 900 ns
i:297 599641712: Loop = 9, Time = 400 ns
i:298 600111629: Loop = 10, Time = 500 ns
i:299 601405682: Loop = 8, Time = 400 ns
i:300 607217468: Loop = 10, Time = 600 ns
i:301 613151824: Loop = 9, Time = 600 ns
i:302 613905556: Loop = 10, Time = 500 ns
i:303 614628178: Loop = 7, Time = 1000 ns
i:304 615838176: Loop = 10, Time = 800 ns
i:305 621999320: Loop = 9, Time = 400 ns
i:306 622907093: Loop = 10, Time = 400 ns
i:307 625886281: Loop = 8, Time = 400 ns
i:308 627510410: Loop = 10, Time = 400 ns
i:309 631729209: Loop = 9, Time = 400 ns
i:310 632557609: Loop = 10, Time = 400 ns
i:311 632734848: Loop = 4, Time = 200 ns
i:312 633388178: Loop = 9, Time = 700 ns
i:313 636381447: Loop = 10, Time = 400 ns
i:314 640963818: Loop = 8, Time = 300 ns
i:315 641296401: Loop = 10, Time = 400 ns
i:316 642534373: Loop = 9, Time = 400 ns
i:317 645992003: Loop = 10, Time = 500 ns
i:318 649386714: Loop = 7, Time = 300 ns
i:319 650823021: Loop = 10, Time = 400 ns
i:320 654727579: Loop = 9, Time = 400 ns
i:321 656812385: Loop = 10, Time = 500 ns
i:322 659940147: Loop = 8, Time = 300 ns
i:323 661325166: Loop = 10, Time = 500 ns
i:324 662199980: Loop = 9, Time = 400 ns
i:325 665613984: Loop = 10, Time = 400 ns
i:326 667279882: Loop = 6, Time = 300 ns
i:327 668534391: Loop = 10, Time = 600 ns
i:328 669620256: Loop = 9, Time = 400 ns
i:329 670304784: Loop = 10, Time = 900 ns
i:330 676719568: Loop = 8, Time = 600 ns
i:331 681923374: Loop = 10, Time = 700 ns
i:332 682039853: Loop = 9, Time = 400 ns
i:333 682556935: Loop = 10, Time = 400 ns
i:334 683154694: Loop = 7, Time = 300 ns
i:335 685082701: Loop = 10, Time = 500 ns
i:336 688496364: Loop = 9, Time = 400 ns
i:337 693031252: Loop = 10, Time = 500 ns
i:338 694411155: Loop = 8, Time = 400 ns
i:339 695249786: Loop = 10, Time = 400 ns
i:340 701377984: Loop = 9, Time = 400 ns
i:341 702410126: Loop = 10, Time = 800 ns
i:342 704848209: Loop = 5, Time = 200 ns
i:343 714423060: Loop = 10, Time = 700 ns
i:344 714507853: Loop = 9, Time = 400 ns
i:345 720590626: Loop = 10, Time = 500 ns
i:346 725797710: Loop = 8, Time = 300 ns
i:347 727807327: Loop = 10, Time = 400 ns
i:348 730962741: Loop = 9, Time = 400 ns
i:349 740054405: Loop = 10, Time = 400 ns
i:350 745022605: Loop = 7, Time = 300 ns
i:351 746366708: Loop = 10, Time = 500 ns
i:352 746998194: Loop = 9, Time = 400 ns
i:353 748942818: Loop = 10, Time = 400 ns
i:354 750288035: Loop = 8, Time = 500 ns
i:355 752839045: Loop = 10, Time = 500 ns
i:356 754017305: Loop = 9, Time = 400 ns
i:357 754151518: Loop = 10, Time = 500 ns
i:358 755722656: Loop = 6, Time = 300 ns
i:359 757268351: Loop = 10, Time = 600 ns
i:360 759008366: Loop = 9, Time = 400 ns
i:361 760583810: Loop = 10, Time = 400 ns
i:362 760605637: Loop = 8, Time = 400 ns
i:363 761719712: Loop = 10, Time = 400 ns
i:364 761912440: Loop = 9, Time = 500 ns
i:365 763617110: Loop = 10, Time = 500 ns
i:366 763720187: Loop = 7, Time = 300 ns
i:367 764924631: Loop = 10, Time = 600 ns
i:368 765636252: Loop = 9, Time = 400 ns
i:369 767843307: Loop = 10, Time = 500 ns
i:370 767887320: Loop = 8, Time = 400 ns
i:371 768524180: Loop = 10, Time = 500 ns
i:372 771364006: Loop = 9, Time = 400 ns
i:373 774237035: Loop = 10, Time = 400 ns
i:374 775715747: Loop = 3, Time = 100 ns
i:375 779665312: Loop = 9, Time = 700 ns
i:376 783589361: Loop = 10, Time = 500 ns
i:377 785556957: Loop = 8, Time = 400 ns
i:378 786083941: Loop = 10, Time = 600 ns
i:379 788385804: Loop = 9, Time = 400 ns
i:380 790097480: Loop = 10, Time = 400 ns
i:381 791440915: Loop = 7, Time = 300 ns
i:382 791628919: Loop = 10, Time = 700 ns
i:383 791918799: Loop = 9, Time = 400 ns
i:384 793612988: Loop = 10, Time = 600 ns
i:385 797930434: Loop = 8, Time = 300 ns
i:386 799491314: Loop = 10, Time = 500 ns
i:387 805091719: Loop = 9, Time = 400 ns
i:388 806937069: Loop = 10, Time = 500 ns
i:389 808886269: Loop = 6, Time = 300 ns
i:390 808908343: Loop = 10, Time = 600 ns
i:391 810822644: Loop = 9, Time = 400 ns
i:392 811500523: Loop = 10, Time = 500 ns
i:393 814209958: Loop = 8, Time = 300 ns
i:394 815767374: Loop = 10, Time = 500 ns
i:395 818861078: Loop = 9, Time = 400 ns
i:396 819726379: Loop = 10, Time = 400 ns
i:397 821498665: Loop = 7, Time = 300 ns
i:398 828322916: Loop = 10, Time = 800 ns
i:399 830315570: Loop = 9, Time = 300 ns
i:400 831131227: Loop = 10, Time = 400 ns
i:401 831607499: Loop = 8, Time = 300 ns
i:402 832341639: Loop = 10, Time = 400 ns
i:403 832641625: Loop = 9, Time = 400 ns
i:404 834710653: Loop = 10, Time = 500 ns
i:405 835719781: Loop = 5, Time = 200 ns
i:406 837896434: Loop = 9, Time = 1100 ns
i:407 837950459: Loop = 10, Time = 500 ns
i:408 839912418: Loop = 8, Time = 300 ns
i:409 840860336: Loop = 10, Time = 600 ns
i:410 841205219: Loop = 9, Time = 500 ns
i:411 842161010: Loop = 10, Time = 400 ns
i:412 842995323: Loop = 7, Time = 300 ns
i:413 848264543: Loop = 10, Time = 500 ns
i:414 850739248: Loop = 9, Time = 400 ns
i:415 851386874: Loop = 10, Time = 500 ns
i:416 854373573: Loop = 8, Time = 400 ns
i:417 856773992: Loop = 10, Time = 500 ns
i:418 858172605: Loop = 9, Time = 400 ns
i:419 858594113: Loop = 10, Time = 500 ns
i:420 861583004: Loop = 6, Time = 300 ns
i:421 864071478: Loop = 10, Time = 600 ns
i:422 865651079: Loop = 9, Time = 400 ns
i:423 865940684: Loop = 10, Time = 400 ns
i:424 874031924: Loop = 8, Time = 400 ns
i:425 875291134: Loop = 10, Time = 500 ns
i:426 880420459: Loop = 9, Time = 400 ns
i:427 880870905: Loop = 10, Time = 400 ns
i:428 886057212: Loop = 7, Time = 300 ns
i:429 893434547: Loop = 10, Time = 400 ns
i:430 893473789: Loop = 9, Time = 400 ns
i:431 893564164: Loop = 10, Time = 500 ns
i:432 894881506: Loop = 8, Time = 300 ns
i:433 895114767: Loop = 10, Time = 400 ns
i:434 900389009: Loop = 9, Time = 400 ns
i:435 905293944: Loop = 10, Time = 500 ns
i:436 910902564: Loop = 4, Time = 200 ns
i:437 916038050: Loop = 9, Time = 800 ns
i:438 921517134: Loop = 10, Time = 500 ns
i:439 922602262: Loop = 8, Time = 400 ns
i:440 922883472: Loop = 10, Time = 500 ns
i:441 926430282: Loop = 9, Time = 500 ns
i:442 928548804: Loop = 10, Time = 500 ns
i:443 928894862: Loop = 7, Time = 300 ns
i:444 931918944: Loop = 10, Time = 500 ns
i:445 933876298: Loop = 9, Time = 400 ns
i:446 934691231: Loop = 10, Time = 400 ns
i:447 936105192: Loop = 8, Time = 300 ns
i:448 939195771: Loop = 10, Time = 700 ns
i:449 941423835: Loop = 9, Time = 400 ns
i:450 942225692: Loop = 10, Time = 500 ns
i:451 947353089: Loop = 6, Time = 300 ns
i:452 950139291: Loop = 10, Time = 600 ns
i:453 952247810: Loop = 9, Time = 400 ns
i:454 954547269: Loop = 10, Time = 500 ns
i:455 959405049: Loop = 8, Time = 500 ns
i:456 961519207: Loop = 10, Time = 500 ns
i:457 961920207: Loop = 9, Time = 400 ns
i:458 962146323: Loop = 10, Time = 500 ns
i:459 963416146: Loop = 7, Time = 300 ns
i:460 963737057: Loop = 10, Time = 600 ns
i:461 964209751: Loop = 9, Time = 400 ns
i:462 964814349: Loop = 10, Time = 500 ns
i:463 967611154: Loop = 8, Time = 400 ns
i:464 971149353: Loop = 10, Time = 500 ns
